Ad_Reference_ID,ad_category,ad_device,ad_location,ad_type,cost_per_click,ad_video_length,total_clicks,total_impressions,ctr,avg_watch_duration,total_ad_spend,total_revenue,roas,total_conversions,conversion_rate,overall_conversion_rate,avg_user_age,unique_users,avg_watch_ratio,avg_ded_score,category_age_affinity,platforms_used,devices_used,platform_avg_roas,platform_total_spend,platform_total_revenue,active_time_slots,best_day,avg_hour,ingestion_date,ingestion_timestamp,engagement_efficiency,profit_margin,cost_per_conversion,high_performance,cost_efficiency_score,engagement_score,audience_alignment_score,ad_age_days,ad_lifecycle_stage,location_type,season,processing_date,export_timestamp,export_version,environment
AD_0000,Food,All-Devices,Tamil Nadu,Text,0.96,0.0,7,340,0.023,0.0,6.72,0.0,0.0,0,0.0219,0.0219,28.0,340,0.0,0.17,0.0534,other,All-Devices,0.0,6.72,0.0,Night,5,9.4,2026-01-01,2026-01-01,0.12,-1.0,0.0,0,0.0,0.115,0.0534,30,Declining,Rural,Spring,2026-01-01,2026-08-03T15:45:00,v2.0,Demo
AD_0001,Gaming,Mobile,Maharashtra,Image,0.89,0.0,1,151,0.0079,0.0,0.89,0.0,0.0,0,0.0272,0.0272,56.0,151,0.0,0.14,0.0163,instagram,Mobile,0.0,0.89,0.0,Afternoon,6,18.3,2026-01-02,2026-01-02,0.04,-1.0,0.0,0,0.0,0.04,0.0163,98,New,Rural,Summer,2026-01-02,2026-08-03T15:45:00,v2.0,Demo
AD_0002,Health,Mobile,Karnataka,Image,1.37,0.0,21,1340,0.0163,0.0,28.77,0.0,0.0,0,0.0082,0.0082,24.0,1340,0.0,0.19,0.035,instagram,Mobile,0.0,28.77,0.0,Morning,4,16.7,2026-01-03,2026-01-03,0.06,-1.0,0.0,0,0.0,0.081,0.035,42,Declining,Rural,Summer,2026-01-03,2026-08-03T15:45:00,v2.0,Demo
AD_0003,Gaming,All-Devices,Karnataka,Image,0.7,0.0,19,916,0.0215,0.0,13.3,0.0,0.0,0,0.0061,0.0061,44.0,916,0.0,0.15,0.0392,facebook,All-Devices,0.0,13.3,0.0,Evening,3,14.8,2026-01-04,2026-01-04,0.15,-1.0,0.0,0,0.0,0.107,0.0392,11,New,Urban,Fall,2026-01-04,2026-08-03T15:45:00,v2.0,Demo
AD_0004,Gaming,Desktop,Karnataka,Carousel,0.58,0.0,16,1017,0.0167,0.0,9.28,0.0,0.0,0,0.007,0.007,19.0,1017,0.0,0.14,0.0951,facebook,Desktop,0.0,9.28,0.0,Afternoon,5,16.8,2026-01-05,2026-01-05,0.14,-1.0,0.0,0,0.0,0.083,0.0951,27,New,Rural,Fall,2026-01-05,2026-08-03T15:45:00,v2.0,Demo
AD_0005,Fashion,Mobile,Uttar Pradesh,Text,1.16,0.0,10,1023,0.0099,0.0,11.6,52.48,4.52,1,0.0206,0.0206,45.0,1023,0.0,0.14,0.0354,other,Mobile,4.51,11.6,52.48,Morning,4,12.8,2026-01-06,2026-01-06,0.04,0.779,11.6,0,0.0862,0.05,0.0354,24,New,Urban,Summer,2026-01-06,2026-08-03T15:45:00,v2.0,Demo
AD_0006,Health,Mobile,Delhi,Video,0.71,15.6,11,891,0.0132,11.7,7.81,0.0,0.0,0,0.0146,0.0146,30.0,891,0.75,0.19,0.0515,instagram,Mobile,0.0,7.81,0.0,Morning,7,8.9,2026-01-07,2026-01-07,0.62,-1.0,0.0,0,0.0,0.441,0.0515,99,New,Semi-Urban,Fall,2026-01-07,2026-08-03T15:45:00,v2.0,Demo
AD_0007,Health,Mobile,Uttar Pradesh,Carousel,1.02,0.0,33,1011,0.0328,0.0,33.66,0.0,0.0,0,0.0268,0.0268,37.0,1011,0.0,0.17,0.0704,instagram,Mobile,0.0,33.66,0.0,Night,6,16.3,2026-01-08,2026-01-08,0.16,-1.0,0.0,0,0.0,0.164,0.0704,39,Growing,Urban,Summer,2026-01-08,2026-08-03T15:45:00,v2.0,Demo
AD_0008,Health,All-Devices,Delhi,Text,1.02,0.0,25,991,0.0253,0.0,25.5,59.89,2.35,1,0.0397,0.0397,33.0,991,0.0,0.05,0.0246,google,All-Devices,2.58,25.5,59.89,Evening,3,14.3,2026-01-09,2026-01-09,0.12,0.5742,25.5,1,0.0392,0.126,0.0246,72,Declining,Rural,Spring,2026-01-09,2026-08-03T15:45:00,v2.0,Demo
AD_0009,Gaming,Tablet,Karnataka,Text,1.35,0.0,21,1076,0.0199,0.0,28.35,0.0,0.0,0,0.0185,0.0185,25.0,1076,0.0,0.13,0.0538,other,Tablet,0.0,28.35,0.0,Afternoon,7,16.0,2026-01-10,2026-01-10,0.07,-1.0,0.0,0,0.0,0.1,0.0538,115,New,Urban,Fall,2026-01-10,2026-08-03T15:45:00,v2.0,Demo
AD_0010,Food,Mobile,Karnataka,Video,0.96,42.4,1,134,0.0054,31.0,0.96,106.04,110.46,1,0.0251,0.0251,44.0,134,0.73,0.15,0.0765,other,Mobile,100.38,0.96,106.04,Morning,4,11.7,2026-01-11,2026-01-11,0.41,0.9909,0.96,0,1.0417,0.392,0.0765,18,Declining,Rural,Summer,2026-01-11,2026-08-03T15:45:00,v2.0,Demo
AD_0011,Health,Tablet,Uttar Pradesh,Video,0.83,23.6,13,377,0.0348,12.0,10.79,0.0,0.0,0,0.0195,0.0195,55.0,377,0.51,0.16,0.088,google,Tablet,0.0,10.79,0.0,Night,4,19.7,2026-01-12,2026-01-12,0.52,-1.0,0.0,0,0.0,0.429,0.088,77,Mature,Urban,Fall,2026-01-12,2026-08-03T15:45:00,v2.0,Demo
AD_0012,Travel,Desktop,Uttar Pradesh,Video,0.34,22.8,21,865,0.0251,13.2,7.14,0.0,0.0,0,0.0347,0.0347,58.0,865,0.58,0.08,0.0664,other,Desktop,0.0,7.14,0.0,Afternoon,7,15.2,2026-01-13,2026-01-13,1.22,-1.0,0.0,0,0.0,0.416,0.0664,45,New,Semi-Urban,Spring,2026-01-13,2026-08-03T15:45:00,v2.0,Demo
AD_0013,Gaming,Mobile,Delhi,Image,0.31,0.0,7,503,0.0145,0.0,2.17,0.0,0.0,0,0.0366,0.0366,26.0,503,0.0,0.18,0.0702,other,Mobile,0.0,2.17,0.0,Afternoon,6,8.2,2026-01-14,2026-01-14,0.24,-1.0,0.0,0,0.0,0.073,0.0702,88,Declining,Urban,Fall,2026-01-14,2026-08-03T15:45:00,v2.0,Demo
AD_0014,Fashion,Mobile,Tamil Nadu,Video,0.36,14.9,21,678,0.0314,7.2,7.56,0.0,0.0,0,0.0357,0.0357,48.0,678,0.48,0.19,0.0214,facebook,Mobile,0.0,7.56,0.0,Morning,5,13.3,2026-01-15,2026-01-15,1.1,-1.0,0.0,0,0.0,0.397,0.0214,115,Growing,Semi-Urban,Summer,2026-01-15,2026-08-03T15:45:00,v2.0,Demo
AD_0015,Food,Desktop,Delhi,Text,0.38,0.0,16,1294,0.0128,0.0,6.08,0.0,0.0,0,0.0391,0.0391,46.0,1294,0.0,0.09,0.0951,instagram,Desktop,0.0,6.08,0.0,Afternoon,3,17.6,2026-01-16,2026-01-16,0.17,-1.0,0.0,0,0.0,0.064,0.0951,87,Declining,Rural,Fall,2026-01-16,2026-08-03T15:45:00,v2.0,Demo
AD_0016,Travel,Mobile,Uttar Pradesh,Video,1.01,11.6,26,1227,0.0213,6.8,26.26,0.0,0.0,0,0.006,0.006,32.0,1227,0.59,0.18,0.0219,other,Mobile,0.0,26.26,0.0,Morning,1,18.1,2026-01-17,2026-01-17,0.4,-1.0,0.0,0,0.0,0.401,0.0219,12,New,Semi-Urban,Fall,2026-01-17,2026-08-03T15:45:00,v2.0,Demo
AD_0017,Travel,Tablet,Uttar Pradesh,Text,1.15,0.0,17,714,0.0241,0.0,19.55,0.0,0.0,0,0.0344,0.0344,19.0,714,0.0,0.06,0.0797,facebook,Tablet,0.0,19.55,0.0,Night,2,13.9,2026-01-18,2026-01-18,0.1,-1.0,0.0,0,0.0,0.12,0.0797,49,Mature,Rural,Summer,2026-01-18,2026-08-03T15:45:00,v2.0,Demo
AD_0018,Fashion,All-Devices,Maharashtra,Carousel,0.87,0.0,1,61,0.0116,0.0,0.87,50.83,58.43,1,0.0313,0.0313,47.0,61,0.0,0.06,0.0338,instagram,All-Devices,55.66,0.87,50.83,Night,5,19.5,2026-01-19,2026-01-19,0.07,0.9829,0.87,0,1.1494,0.058,0.0338,94,Declining,Rural,Winter,2026-01-19,2026-08-03T15:45:00,v2.0,Demo
AD_0019,Food,Tablet,Uttar Pradesh,Image,1.27,0.0,41,1206,0.0344,0.0,52.07,0.0,0.0,0,0.013,0.013,58.0,1206,0.0,0.07,0.094,google,Tablet,0.0,52.07,0.0,Afternoon,3,10.7,2026-01-20,2026-01-20,0.14,-1.0,0.0,0,0.0,0.172,0.094,31,Mature,Semi-Urban,Fall,2026-01-20,2026-08-03T15:45:00,v2.0,Demo
AD_0020,Gaming,All-Devices,Maharashtra,Carousel,1.49,0.0,9,353,0.0274,0.0,13.41,0.0,0.0,0,0.0385,0.0385,45.0,353,0.0,0.06,0.0748,facebook,All-Devices,0.0,13.41,0.0,Morning,7,12.7,2026-01-21,2026-01-21,0.09,-1.0,0.0,0,0.0,0.137,0.0748,92,Growing,Semi-Urban,Fall,2026-01-21,2026-08-03T15:45:00,v2.0,Demo
AD_0021,Electronics,All-Devices,Tamil Nadu,Carousel,1.26,0.0,29,1366,0.0217,0.0,36.54,0.0,0.0,0,0.0102,0.0102,36.0,1366,0.0,0.18,0.0778,facebook,All-Devices,0.0,36.54,0.0,Evening,4,19.6,2026-01-22,2026-01-22,0.09,-1.0,0.0,0,0.0,0.108,0.0778,22,Declining,Urban,Spring,2026-01-22,2026-08-03T15:45:00,v2.0,Demo
AD_0022,Food,Tablet,Delhi,Text,1.09,0.0,10,1024,0.0104,0.0,10.9,0.0,0.0,0,0.0288,0.0288,40.0,1024,0.0,0.06,0.0297,instagram,Tablet,0.0,10.9,0.0,Night,7,19.5,2026-01-23,2026-01-23,0.05,-1.0,0.0,0,0.0,0.052,0.0297,44,Declining,Urban,Winter,2026-01-23,2026-08-03T15:45:00,v2.0,Demo
AD_0023,Fashion,Tablet,Delhi,Carousel,0.87,0.0,9,1373,0.0066,0.0,7.83,0.0,0.0,0,0.0129,0.0129,26.0,1373,0.0,0.09,0.0499,google,Tablet,0.0,7.83,0.0,Morning,3,16.6,2026-01-24,2026-01-24,0.04,-1.0,0.0,0,0.0,0.033,0.0499,92,Growing,Semi-Urban,Spring,2026-01-24,2026-08-03T15:45:00,v2.0,Demo
AD_0024,Travel,Tablet,Maharashtra,Text,0.76,0.0,12,832,0.0146,0.0,9.12,0.0,0.0,0,0.0201,0.0201,50.0,832,0.0,0.07,0.0656,facebook,Tablet,0.0,9.12,0.0,Morning,7,19.0,2026-01-25,2026-01-25,0.1,-1.0,0.0,0,0.0,0.073,0.0656,64,Growing,Semi-Urban,Summer,2026-01-25,2026-08-03T15:45:00,v2.0,Demo
AD_0025,Gaming,Tablet,Delhi,Video,0.26,38.5,2,92,0.0276,20.8,0.52,0.0,0.0,0,0.0302,0.0302,49.0,92,0.54,0.09,0.0793,other,Tablet,0.0,0.52,0.0,Morning,7,8.2,2026-01-26,2026-01-26,1.57,-1.0,0.0,0,0.0,0.408,0.0793,77,Growing,Semi-Urban,Summer,2026-01-26,2026-08-03T15:45:00,v2.0,Demo
AD_0026,Food,Desktop,Uttar Pradesh,Video,0.69,26.7,13,993,0.0131,16.6,8.97,0.0,0.0,0,0.0247,0.0247,24.0,993,0.62,0.06,0.0194,other,Desktop,0.0,8.97,0.0,Afternoon,2,19.1,2026-01-27,2026-01-27,0.54,-1.0,0.0,0,0.0,0.376,0.0194,25,New,Semi-Urban,Spring,2026-01-27,2026-08-03T15:45:00,v2.0,Demo
AD_0027,Electronics,Mobile,Karnataka,Text,1.38,0.0,8,392,0.0212,0.0,11.04,97.5,8.83,1,0.02,0.02,55.0,392,0.0,0.15,0.0966,other,Mobile,8.08,11.04,97.5,Evening,6,11.5,2026-01-28,2026-01-28,0.08,0.8868,11.04,1,0.0906,0.106,0.0966,108,New,Rural,Fall,2026-01-28,2026-08-03T15:45:00,v2.0,Demo
AD_0028,Electronics,All-Devices,Maharashtra,Video,1.24,30.0,37,1399,0.0268,17.4,45.88,0.0,0.0,0,0.0164,0.0164,29.0,1399,0.58,0.07,0.0901,google,All-Devices,0.0,45.88,0.0,Afternoon,2,9.5,2026-01-29,2026-01-29,0.34,-1.0,0.0,0,0.0,0.424,0.0901,51,Declining,Semi-Urban,Winter,2026-01-29,2026-08-03T15:45:00,v2.0,Demo
AD_0029,Health,Tablet,Delhi,Image,0.44,0.0,4,547,0.0082,0.0,1.76,0.0,0.0,0,0.0344,0.0344,59.0,547,0.0,0.18,0.0343,facebook,Tablet,0.0,1.76,0.0,Night,1,10.4,2026-01-30,2026-01-30,0.09,-1.0,0.0,0,0.0,0.041,0.0343,110,Declining,Semi-Urban,Spring,2026-01-30,2026-08-03T15:45:00,v2.0,Demo
AD_0030,Health,Tablet,Maharashtra,Carousel,0.78,0.0,10,413,0.0256,0.0,7.8,0.0,0.0,0,0.01,0.01,34.0,413,0.0,0.17,0.084,other,Tablet,0.0,7.8,0.0,Afternoon,1,12.9,2026-01-31,2026-01-31,0.16,-1.0,0.0,0,0.0,0.128,0.084,7,Declining,Semi-Urban,Spring,2026-01-31,2026-08-03T15:45:00,v2.0,Demo
AD_0031,Fashion,Tablet,Maharashtra,Image,1.25,0.0,7,940,0.0078,0.0,8.75,49.53,5.66,1,0.0201,0.0201,25.0,940,0.0,0.05,0.0566,google,Tablet,5.9,8.75,49.53,Morning,2,10.5,2026-02-01,2026-02-01,0.03,0.8233,8.75,0,0.1143,0.039,0.0566,109,Mature,Semi-Urban,Summer,2026-02-01,2026-08-03T15:45:00,v2.0,Demo
AD_0032,Food,Desktop,Karnataka,Carousel,0.24,0.0,16,476,0.034,0.0,3.84,0.0,0.0,0,0.0366,0.0366,33.0,476,0.0,0.18,0.0516,other,Desktop,0.0,3.84,0.0,Afternoon,5,11.5,2026-02-02,2026-02-02,0.71,-1.0,0.0,0,0.0,0.17,0.0516,6,Growing,Rural,Fall,2026-02-02,2026-08-03T15:45:00,v2.0,Demo
AD_0033,Food,Tablet,Uttar Pradesh,Video,0.67,28.9,20,1054,0.0197,13.0,13.4,0.0,0.0,0,0.0346,0.0346,36.0,1054,0.45,0.05,0.0383,instagram,Tablet,0.0,13.4,0.0,Morning,5,8.9,2026-02-03,2026-02-03,0.48,-1.0,0.0,0,0.0,0.324,0.0383,24,Declining,Urban,Winter,2026-02-03,2026-08-03T15:45:00,v2.0,Demo
AD_0034,Travel,Tablet,Maharashtra,Image,1.3,0.0,1,70,0.0095,0.0,1.3,32.62,25.09,1,0.019,0.019,21.0,70,0.0,0.09,0.0623,facebook,Tablet,25.8,1.3,32.62,Evening,7,11.1,2026-02-04,2026-02-04,0.04,0.9601,1.3,0,0.7692,0.048,0.0623,19,Growing,Urban,Spring,2026-02-04,2026-08-03T15:45:00,v2.0,Demo
